"Time [ms]","L(Phase_A,Phase_B) [uH]"
17.44,-395.926113969618
17.48,-405.701254754545
17.52,-410.914204474836
17.56,-414.042192478877
17.6,-417.159678540384
17.64,-420.70889824621
17.68,-425.254889992345
17.72,-431.153643497707
17.7599999999999,-438.46858127894
17.7999999999999,-446.650172540269
17.8399999999999,-455.923018424443
17.8799999999999,-468.458988830361
17.9199999999999,-484.762673047807
17.9599999999999,-502.704345367214
17.9999999999999,-518.796465334023
18.0399999999999,-530.479418448158
18.0799999999999,-535.124440040171
18.1199999999999,-532.52878221744
18.1599999999999,-524.090883278735
18.1999999999999,-512.014797852965
18.2399999999999,-500.654272024983
18.2799999999999,-491.04402409358
18.3199999999999,-483.084264524374
18.3599999999999,-477.007231419187
18.3999999999999,-470.56016868917
18.4399999999999,-455.530935470575
18.4799999999999,-440.850271076925
18.5199999999999,-430.840478417397
18.5599999999999,-425.734614743378
18.5999999999999,-425.306482464346
18.6399999999999,-428.253049673717
18.6799999999999,-432.912813655729
18.7199999999999,-436.524838555959
18.7599999999999,-436.708435564478
18.7999999999999,-430.994254413696
18.8399999999999,-419.341531990708
18.8799999999999,-405.650075765269
18.9199999999999,-392.050184089904
18.9599999999999,-378.662978875924
18.9999999999999,-368.53217856172
19.0399999999999,-360.060558400029
19.0799999999999,-352.959018636301
19.1199999999999,-347.007599708248
19.1599999999999,-341.505551538793
19.1999999999999,-333.171418885582
19.2399999999999,-323.456655955009
19.2799999999999,-316.198501447701
19.3199999999999,-310.826841596158
19.3599999999999,-305.691527244543
19.3999999999999,-299.719629854588
19.4399999999999,-292.7943435586
19.4799999999999,-284.833240385372
19.5199999999999,-275.860931960871
19.5599999999999,-266.646881098658
19.5999999999999,-259.118407379022
19.6399999999999,-251.30810851293
19.6799999999999,-243.309018717469
19.7199999999999,-234.320897043277
19.7599999999999,-217.76749955369
19.7999999999999,-194.124906433308
19.8399999999999,-169.806579289021
19.8799999999999,-145.573443085869
19.9199999999999,-122.600700670792
19.9599999999999,-100.342625315869
19.9999999999999,-80.1386387780613
20.0399999999999,-62.908880680575
20.0799999999999,-49.635026255821
20.1199999999999,-42.0769639496569
20.1599999999999,-41.9506191099383
20.1999999999999,-45.755234037564
20.2399999999998,-51.1937469078671
20.2799999999998,-56.8612405731782
20.3199999999998,-62.0403546818917
20.3599999999998,-66.1187711388073
20.3999999999998,-69.2037894891883
20.4399999999998,-71.2917574290644
20.4799999999998,-72.3216459479492
20.5199999999998,-71.15099824569
20.5599999999998,-65.0902269632362
20.5999999999998,-54.7744708032614
20.6399999999998,-42.3499062446534
20.6799999999998,-31.3776383637871
